entry,energy_above_hull_per_atom,rmsd_from_relaxation,novel_unique_stable,stable,comp_validity,structure_comp_validity,structure_validity,novel,novel_unique,unique,is_unique,is_novel,is_explored,energy_above_hull,self_consistent_energy_above_hull
"10 ComputedStructureEntry - Tb3 Al4      (Tb3Al4)
Energy (Uncorrected)     = -31.6801  eV (-4.5257  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -31.6801  eV (-4.5257  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Tb_3', 'PBE Al']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.06160666277692517,0.04000172777191517,True,True,True,True,True,True,True,True,True,True,True,0.06160666277692517,0.0
"11 ComputedStructureEntry - Mn1 Al1 Ga1 Fe1 (MnAlGaFe)
Energy (Uncorrected)     = -25.0615  eV (-6.2654  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -25.0615  eV (-6.2654  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Mn_pv', 'PBE Al', 'PBE Ga_d', 'PBE Fe_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.09445617945068285,0.0014036452991715489,True,True,True,True,True,True,True,True,True,True,True,0.09445617945068285,0.09445617945068285
"12 ComputedStructureEntry - La1 Dy2 Ag1  (LaDy2Ag)
Energy (Uncorrected)     = -17.5066  eV (-4.3766  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -17.5066  eV (-4.3766  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE La', 'PBE Dy_3', 'PBE Ag']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.029891123338622982,0.0024530859640493115,False,True,True,True,True,False,False,True,True,False,True,0.029891123338622982,0.029891123338622982
"13 ComputedStructureEntry - Pr2 Ag1 Au1  (Pr2AgAu)
Energy (Uncorrected)     = -17.6904  eV (-4.4226  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -17.6904  eV (-4.4226  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Pr_3', 'PBE Ag', 'PBE Au']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.020050981687012026,0.0027348165292985674,True,True,True,True,True,True,True,True,True,True,True,0.020050981687012026,0.020050981687012026
"14 ComputedStructureEntry - Li4 Nd4 Ir4  (LiNdIr)
Energy (Uncorrected)     = -67.3505  eV (-5.6125  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -67.3505  eV (-5.6125  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Li_sv', 'PBE Nd_3', 'PBE Ir']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.006508319628363068,0.006719465143638747,True,True,True,True,True,True,True,True,True,True,True,0.006508319628363068,0.0014629994299513172
"15 ComputedStructureEntry - Sm3 Dy3 Tm2 Mg1 (Sm3Dy3Tm2Mg)
Energy (Uncorrected)     = -38.2428  eV (-4.2492  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -38.2428  eV (-4.2492  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Sm_3', 'PBE Dy_3', 'PBE Tm_3', 'PBE Mg_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.05383188070167755,0.0013424092266406114,True,True,True,True,True,True,True,True,True,True,True,0.05383188070167755,0.05383188070167755
"16 ComputedStructureEntry - Ba4 Mg2 F12  (Ba2MgF6)
Energy (Uncorrected)     = -100.5338 eV (-5.5852  eV/atom)
Correction               = -5.5440   eV (-0.3080  eV/atom)
Energy (Final)           = -106.0778 eV (-5.8932  eV/atom)
Energy Adjustments:
  MP2020 anion correction (F): -5.5440   eV (-0.3080  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ba_sv', 'PBE Mg_pv', 'PBE F']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {'Ba': 2.0, 'Mg': 2.0, 'F': -1.0}",0.03781194512369446,0.011250282535715571,True,True,True,True,True,True,True,True,True,True,True,0.03781194512369446,0.03781194512369446
"17 ComputedStructureEntry - Tm2 Sc1 Zn16 (Tm2ScZn16)
Energy (Uncorrected)     = -39.3391  eV (-2.0705  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -39.3391  eV (-2.0705  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Tm_3', 'PBE Sc_sv', 'PBE Zn']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.06515193877875403,0.16745741272290382,True,True,True,True,True,True,True,True,True,True,True,0.06515193877875403,0.06515193877875403
"18 ComputedStructureEntry - Ba6 Ge1 O3   (Ba6GeO3)
Energy (Uncorrected)     = -46.4538  eV (-4.6454  eV/atom)
Correction               = -2.0610   eV (-0.2061  eV/atom)
Energy (Final)           = -48.5148  eV (-4.8515  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -2.0610   eV (-0.2061  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ba_sv', 'PBE Ge_d', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {}",0.09595315685839712,0.0807610019544085,True,True,False,False,True,True,True,True,True,True,True,0.09595315685839712,0.08843213785839765
"19 ComputedStructureEntry - Na1 Sr7 Cd6  (NaSr7Cd6)
Energy (Uncorrected)     = -22.5281  eV (-1.6092  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -22.5281  eV (-1.6092  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Na_pv', 'PBE Sr_sv', 'PBE Cd']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.005014574154299067,0.00028872385920988765,True,True,True,True,True,True,True,True,True,True,True,0.005014574154299067,0.005014574154299067
"20 ComputedStructureEntry - La2 Zn2 Pd5  (La2Zn2Pd5)
Energy (Uncorrected)     = -44.5878  eV (-4.9542  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -44.5878  eV (-4.9542  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE La', 'PBE Zn', 'PBE Pd']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.07957583920934308,0.018510650583116586,True,True,True,True,True,True,True,True,True,True,True,0.07957583920934308,0.02492544439453237
"21 ComputedStructureEntry - Sn2 B1 Pt8   (Sn2BPt8)
Energy (Uncorrected)     = -66.0543  eV (-6.0049  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -66.0543  eV (-6.0049  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Sn_d', 'PBE B', 'PBE Pt']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.08631687446555247,0.13442882704999326,True,True,False,False,True,True,True,True,True,True,True,0.08631687446555247,0.08631687446555247
"22 ComputedStructureEntry - K4 Pb4 F7    (K4Pb4F7)
Energy (Uncorrected)     = -62.3867  eV (-4.1591  eV/atom)
Correction               = -3.2340   eV (-0.2156  eV/atom)
Energy (Final)           = -65.6207  eV (-4.3747  eV/atom)
Energy Adjustments:
  MP2020 anion correction (F): -3.2340   eV (-0.2156  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE K_sv', 'PBE Pb_d', 'PBE F']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.17548613417708214,1.4867622187384597,False,False,False,False,True,True,True,True,True,True,True,0.17548613417708214,0.17101323167708316
"23 ComputedStructureEntry - Mg1 Cd1 Ag1  (MgCdAg)
Energy (Uncorrected)     = -5.7684   eV (-1.9228  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -5.7684   eV (-1.9228  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Mg_pv', 'PBE Cd', 'PBE Ag']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.029594607322187327,0.00030981896434642656,False,True,True,True,True,False,False,True,True,False,True,0.029594607322187327,0.02959460732218444
"24 ComputedStructureEntry - Ce1 Ga7 Au1  (CeGa7Au)
Energy (Uncorrected)     = -32.6331  eV (-3.6259  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -32.6331  eV (-3.6259  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ce', 'PBE Ga_d', 'PBE Au']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.08074430742187566,0.04305789513384564,True,True,True,True,True,True,True,True,True,True,True,0.08074430742187566,0.08074430742187566
"25 ComputedStructureEntry - Hg3 Br1      (Hg3Br)
Energy (Uncorrected)     = -2.7778   eV (-0.6944  eV/atom)
Correction               = -0.5340   eV (-0.1335  eV/atom)
Energy (Final)           = -3.3118   eV (-0.8279  eV/atom)
Energy Adjustments:
  MP2020 anion correction (Br): -0.5340   eV (-0.1335  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Hg', 'PBE Br']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.15568097458953856,0.00028138308859941916,False,False,False,False,True,True,True,True,True,True,True,0.15568097458953856,0.0
"26 ComputedStructureEntry - Li5 Ca1 Ga3  (Li5CaGa3)
Energy (Uncorrected)     = -22.9190  eV (-2.5466  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -22.9190  eV (-2.5466  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Li_sv', 'PBE Ca_sv', 'PBE Ga_d']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.05713669711263014,0.01262905408678708,True,True,True,True,True,True,True,True,True,True,True,0.05713669711263014,0.057136697112630586
"27 ComputedStructureEntry - Tb7 Sm2 Er2  (Tb7(SmEr)2)
Energy (Uncorrected)     = -50.7982  eV (-4.6180  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -50.7982  eV (-4.6180  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Tb_3', 'PBE Sm_3', 'PBE Er_3']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.019538572634942852,5.316161714514465e-05,True,True,True,True,True,True,True,True,True,True,True,0.019538572634942852,0.019538572634942852
"28 ComputedStructureEntry - Ta1 Mn1 Ga1 Os1 (TaMnGaOs)
Energy (Uncorrected)     = -36.2125  eV (-9.0531  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -36.2125  eV (-9.0531  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ta_pv', 'PBE Mn_pv', 'PBE Ga_d', 'PBE Os_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.03453266909668251,0.0006600033440403016,False,True,True,True,True,False,False,True,True,False,True,0.03453266909668251,0.03453266909668251
"29 ComputedStructureEntry - Zn1 Cu1 Au1  (ZnCuAu)
Energy (Uncorrected)     = -8.9362   eV (-2.9787  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -8.9362   eV (-2.9787  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Zn', 'PBE Cu_pv', 'PBE Au']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.05022853704020269,0.04121465261205449,False,True,True,True,True,False,False,True,True,False,True,0.05022853704020269,0.050204160373536144
"30 ComputedStructureEntry - Y9 Hg7 Au2   (Y9Hg7Au2)
Energy (Uncorrected)     = -77.3671  eV (-4.2982  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -77.3671  eV (-4.2982  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Y_sv', 'PBE Hg', 'PBE Au']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.0152909318858514,0.0024034930928268066,True,True,True,True,True,True,True,True,True,True,True,0.0152909318858514,0.0152909318858514
"31 ComputedStructureEntry - Ho2 Cr1 Ni3 Ge4 (Ho2CrNi3Ge4)
Energy (Uncorrected)     = -59.9554  eV (-5.9955  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -59.9554  eV (-5.9955  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ho_3', 'PBE Cr_pv', 'PBE Ni_pv', 'PBE Ge_d']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.08942259813378861,0.007844577739698452,True,True,True,True,True,True,True,True,True,True,False,0.08942259813378861,0.08942259813378861
"32 ComputedStructureEntry - Ag2 Pt1 Rh1 O6 (Ag2PtRhO6)
Energy (Uncorrected)     = -52.3604  eV (-5.2360  eV/atom)
Correction               = -4.1220   eV (-0.4122  eV/atom)
Energy (Final)           = -56.4824  eV (-5.6482  eV/atom)
Energy Adjustments:
  MP2020 anion correction (oxide): -4.1220   eV (-0.4122  eV/atom)
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ag', 'PBE Pt', 'PBE Rh_pv', 'PBE O']
Data:
  oxide_type             = oxide
  aspherical             = True
  oxidation_states       = {'Ag': 2.0, 'Pt': 4.0, 'Rh': 4.0, 'O': -2.0}",0.052542492431642884,0.029632596873359812,True,True,True,True,True,True,True,True,True,True,True,0.052542492431642884,0.052542492431642884
"33 ComputedStructureEntry - Sm1 Ho1 Zn10 (SmHoZn10)
Energy (Uncorrected)     = -24.3429  eV (-2.0286  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -24.3429  eV (-2.0286  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Sm_3', 'PBE Ho_3', 'PBE Zn']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.10951256435665924,1.3399337828470697,False,False,True,True,True,True,True,True,True,True,True,0.10951256435665924,0.10951256435665924
"34 ComputedStructureEntry - Tb1 Er2 Al1  (TbEr2Al)
Energy (Uncorrected)     = -18.2856  eV (-4.5714  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -18.2856  eV (-4.5714  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Tb_3', 'PBE Er_3', 'PBE Al']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.027865347907715332,0.003095998731975741,False,True,True,True,True,False,False,True,True,False,True,0.027865347907715332,0.027865347907715332
"35 ComputedStructureEntry - Ba2 Eu1 Sn3 Hg4 (Ba2EuSn3Hg4)
Energy (Uncorrected)     = -31.9198  eV (-3.1920  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -31.9198  eV (-3.1920  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Ba_sv', 'PBE Eu', 'PBE Sn_d', 'PBE Hg']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.07335694517344082,0.015093114803592338,True,True,True,True,True,True,True,True,True,True,True,0.07335694517344082,0.07335694517344127
"36 ComputedStructureEntry - Sr4 Cd2 Rh4  (Sr2CdRh2)
Energy (Uncorrected)     = -39.9571  eV (-3.9957  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -39.9571  eV (-3.9957  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Sr_sv', 'PBE Cd', 'PBE Rh_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.10718484324218691,0.05648393188200907,False,False,True,True,True,True,True,True,True,True,True,0.10718484324218691,0.09893591224218712
"37 ComputedStructureEntry - Hf2 Ag1 Os1  (Hf2AgOs)
Energy (Uncorrected)     = -35.3351  eV (-8.8338  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -35.3351  eV (-8.8338  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Hf_pv', 'PBE Ag', 'PBE Os_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.07175299694824133,0.00567409473584413,False,True,True,True,True,False,False,True,True,False,True,0.07175299694824133,0.07175299694824133
"38 ComputedStructureEntry - Pr2 Mn2 Si3 Ir1 (Pr2Mn2Si3Ir)
Energy (Uncorrected)     = -58.2551  eV (-7.2819  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -58.2551  eV (-7.2819  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE Pr_3', 'PBE Mn_pv', 'PBE Si', 'PBE Ir']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.0269781420336912,0.016598302142376557,True,True,False,False,True,True,True,True,True,True,True,0.0269781420336912,0.02683581515867761
"39 ComputedStructureEntry - La1 Ti1 Fe4  (LaTiFe4)
Energy (Uncorrected)     = -46.4231  eV (-7.7372  eV/atom)
Correction               = 0.0000    eV (0.0000   eV/atom)
Energy (Final)           = -46.4231  eV (-7.7372  eV/atom)
Energy Adjustments:
  None
Parameters:
  is_hubbard             = False
  hubbards               = {}
  run_type               = GGA
  potcar_symbols         = ['PBE La', 'PBE Ti_pv', 'PBE Fe_pv']
Data:
  oxide_type             = None
  aspherical             = True
  oxidation_states       = {}",0.1944276508935543,0.0038491212470328855,False,False,True,True,True,True,True,True,True,True,False,0.1944276508935543,0.1944276508935543
